"p","Method","R","Mean_Jaccard","SE_Jaccard","Median_Jaccard","Expected_Jaccard_random","Jaccard_multiple_of_random","N_ever_selected","N_freq_ge_50","N_freq_ge_80","N_freq_ge_95","Mean_set_size","SD_set_size","CV_set_size"
1000,"LASSO",1000,0.310132314011888,0.00155296169869841,0.31175813433878,0.0434617469532221,7.13575352471873,885,47,19,10,83.303,36.5875093008097,0.439209984043908
1000,"ENET",1000,0.320042529202639,0.00154960846890764,0.326039072974526,0.0537801993646759,5.9509360876942,936,60,25,12,102.071,39.7056229707518,0.389000038901861
1000,"MM-RWAL",1000,0.321543810274693,0.00455830762322393,0.25,0.00176561189095781,182.114660600898,79,1,1,1,3.525,2.17073422764904,0.615811128411076
1000,"RAENR-MM",1000,0.402918570308459,0.00328216925951482,0.411361804995971,0.0153918168558088,26.1774535185169,497,18,11,6,30.317,20.3860762066442,0.672430524347533
5000,"LASSO",1000,0.252528193638507,0.00149454132290052,0.25,0.0101499870700802,24.8796566828052,2140,48,16,4,100.48,44.8659620932679,0.446516342488733
5000,"ENET",1000,0.267925818192507,0.00146896034789482,0.267560778684848,0.0119596426446675,22.4024936323636,2243,60,20,7,118.183,47.6160140687542,0.402900705420866
5000,"MM-RWAL",1000,0.402796515722073,0.00320338200468496,0.384615384615385,0.000877869979759247,458.833910498385,114,8,3,1,8.771,3.00492738491109,0.342598037271815
5000,"RAENR-MM",1000,0.424047604859724,0.00225062037731116,0.426229508196721,0.00464598535929406,91.2718340817495,594,32,18,11,46.245,14.1834461660467,0.306702263294339
10000,"LASSO",1000,0.201755181165986,0.00247145927415245,0.176470588235294,0.00348203247859912,57.9417861280708,2289,21,5,3,69.399,35.2330692413841,0.507688428383466
10000,"ENET",1000,0.223837683721691,0.00193279082389637,0.210391363022942,0.0044556144373017,50.2372202243886,2255,41,7,3,88.717,33.3974595037003,0.376449378402113
10000,"MM-RWAL",1000,0.223185624583487,0.00453786991123861,0.181818181818182,0.000277627055389223,803.90444753516,118,2,0,0,5.551,3.75706195244562,0.676826148882296
10000,"RAENR-MM",1000,0.456496007195979,0.00204427844937832,0.462686567164179,0.00223458222452781,204.286958960502,578,35,20,12,44.592,9.22109345818404,0.206788066428598
15000,"LASSO",1000,0.242578190171392,0.00154487519856653,0.241666666666667,0.00241900412679197,100.280188646513,2174,32,10,5,72.395,32.5553809350747,0.44969101367601
15000,"ENET",1000,0.248785041760841,0.00141956408093888,0.248344080361451,0.0031720299587295,78.4308613089162,2471,50,13,6,94.86,33.7048723246123,0.355311747044195
15000,"MM-RWAL",1000,0.346642658730159,0.00418375536371078,0.333333333333333,0.000116246845091628,2981.9532603825,34,1,1,1,3.487,1.05306217287487,0.301996608223364
15000,"RAENR-MM",1000,0.463478038170647,0.00173897945231066,0.464285714285714,0.00148209334994859,312.718519509398,499,36,20,14,44.397,7.28288620201026,0.164040052301062
20000,"LASSO",1000,0.252248645023502,0.00185789546522181,0.25,0.00202649839034463,124.475127256629,2755,37,12,7,80.896,42.7459050248839,0.528405669314724
20000,"ENET",1000,0.260584415608001,0.00160549196848486,0.262773722627737,0.00250078834155743,104.200907880798,2900,52,15,8,99.782,39.9864651275077,0.400738260683367
20000,"MM-RWAL",1000,0.348008567821068,0.00416170515815401,0.333333333333333,8.45571493069739e-05,4115.6610726985,37,1,1,1,3.382,1.03108638781585,0.30487474506678
20000,"RAENR-MM",1000,0.470548311644698,0.00184811780875283,0.473328591749644,0.00109925703919188,428.06031243668,653,34,21,14,43.922,8.9752142297814,0.204344388456386
