"Framework","p","Method","R","Mean_RMSE","SD_RMSE","SE_RMSE","Median_RMSE","Mean_R2","SE_R2","Mean_MAE","SE_MAE","Mean_Sel","SD_Sel","Mean_ntest","Rank"
"ICM",1000,"ENET",1000,0.42473717950932,0.0739874500992046,0.00233968860581537,0.410423854501596,0.498991283934338,0.00238145232690713,0.28476991624207,0.000998544192997342,102.071,39.7056229707518,89,1
"ICM",1000,"LASSO",1000,0.431007695576369,0.0764014843448417,0.00241602707147397,0.416937490909803,0.484613049763071,0.00245015831066102,0.287757655885236,0.0010210325598872,83.303,36.5875093008097,89,2
"ICM",1000,"Ridge",1000,0.447177565325788,0.0721577062678077,0.0022818270253968,0.439388214232101,0.445847373642516,0.0018664049641926,0.295092038199903,0.00107338785917874,1000,0,89,3
"ICM",1000,"RAENR-MM",1000,0.451013598474373,0.0794992113367315,0.00251398580011151,0.43922478034495,0.438179405984517,0.00208492163230232,0.29219608078382,0.00107844550586716,30.317,20.3860762066442,89,4
"ICM",1000,"MM-RWAL",1000,0.509437854915541,0.0933764307455584,0.00295282200932939,0.501537285882092,0.283519736965613,0.00312149022737224,0.330671476699069,0.00131424359973796,3.525,2.17073422764904,89,5
"ICM",5000,"Ridge",1000,0.381808987710763,0.0726313381257591,0.00229680457983224,0.367514225801433,0.597497002376869,0.00193865364379375,0.242301910049347,0.000948484465777457,5000,0,89,1
"ICM",5000,"ENET",1000,0.420561892000818,0.0911941547969106,0.00288381238452208,0.402998483227272,0.513931804337563,0.0028854309607033,0.25487553163554,0.00105945295655809,118.183,47.6160140687542,89,2
"ICM",5000,"LASSO",1000,0.424953823596223,0.0932542552358506,0.0029489584804797,0.407907636583005,0.50393666282458,0.00301229081364551,0.257078347970164,0.00108250244276845,100.48,44.8659620932679,89,3
"ICM",5000,"RAENR-MM",1000,0.430261358112965,0.0926164675742568,0.00292878986373781,0.417307161869855,0.491425546572627,0.0029320427057347,0.259400926792692,0.00110405509416823,46.245,14.1834461660467,89,4
"ICM",5000,"MM-RWAL",1000,0.478216944287941,0.0994333389993613,0.00314435826593629,0.469512133537792,0.371280299353378,0.00339493449015723,0.293018578552183,0.00124330789495626,8.771,3.00492738491109,89,5
"ICM",10000,"Ridge",1000,0.377553685531794,0.0760985225054609,0.0024064465769084,0.358705149867505,0.606729360862096,0.00215770296646949,0.235332581296389,0.000950697406946741,10000,0,89,1
"ICM",10000,"ENET",1000,0.419697729328584,0.100110361906768,0.00316576761009143,0.408042526094636,0.518482169566353,0.00328492177448874,0.237660968859739,0.00138762848178214,88.717,33.3974595037003,89,2
"ICM",10000,"RAENR-MM",1000,0.421804745148421,0.100154808218149,0.003167173125867,0.407246062144585,0.513573499635202,0.00327169018084759,0.241267703346142,0.0013298416455889,44.592,9.22109345818404,89,3
"ICM",10000,"LASSO",1000,0.422720304518939,0.101138118665683,0.00319826813247947,0.41239156720759,0.51146739343752,0.00336858305708205,0.237952873571084,0.00143104545424637,69.399,35.2330692413841,89,4
"ICM",10000,"MM-RWAL",1000,0.487920192222428,0.090211825114692,0.00285274839243207,0.486743518995566,0.344087967280358,0.00274073473780192,0.290399529644904,0.00124132472899578,5.551,3.75706195244562,89,5
"ICM",15000,"Ridge",1000,0.380047089373359,0.0780142872450212,0.0024670283772889,0.360472215550829,0.601872617595347,0.00222175617906102,0.234568148778197,0.000961021802054646,15000,0,89,1
"ICM",15000,"RAENR-MM",1000,0.416113569593927,0.100552142216625,0.00317973793013705,0.402709290624732,0.526971478754615,0.00325747618026904,0.230630750738746,0.00114604916970195,44.397,7.28288620201026,89,2
"ICM",15000,"ENET",1000,0.416299285031937,0.100562181728221,0.00318005540736947,0.404448223867333,0.526642039845035,0.00324652990964795,0.225645754308011,0.00114652639059197,94.86,33.7048723246123,89,3
"ICM",15000,"LASSO",1000,0.420561274123056,0.100879029794481,0.00319007502298548,0.409130823157794,0.516746480847893,0.00328353986312386,0.226840350415992,0.00115957130815092,72.395,32.5553809350747,89,4
"ICM",15000,"MM-RWAL",1000,0.496772119914651,0.0970666294473243,0.00306951633849116,0.493855869326193,0.321908887422766,0.00300898047812106,0.292635538275356,0.00126272046845902,3.487,1.05306217287487,89,5
"ICM",20000,"Ridge",1000,0.38797901754549,0.0792806543015732,0.00250707441981397,0.369726619749722,0.58521226041471,0.00227033539101525,0.238589067053367,0.000981150718886463,20000,0,89,1
"ICM",20000,"RAENR-MM",1000,0.406579219919472,0.100620758190671,0.00318190775775564,0.394689945358497,0.548542121227622,0.00327324403420209,0.222135137607727,0.00108933277772862,43.922,8.9752142297814,89,2
"ICM",20000,"ENET",1000,0.416877074245767,0.101178522111247,0.0031995458016125,0.405616270838309,0.525317628530473,0.00329967181875709,0.22356425440434,0.00112965803376368,99.782,39.9864651275077,89,3
"ICM",20000,"LASSO",1000,0.423106940992314,0.101571397046851,0.00321196959793349,0.412301747112847,0.510796000818526,0.0033454992729479,0.226565691395285,0.00115291010337597,80.896,42.7459050248839,89,4
"ICM",20000,"MM-RWAL",1000,0.498105387413969,0.0976834981443301,0.00308902343948915,0.495737415754315,0.318443768053972,0.00303275854264233,0.292981641870738,0.00127651520522064,3.382,1.03108638781585,89,5
"THCM",1000,"ENET",1000,0.240678082830281,0.0368842894588759,0.00116638364566987,0.238235387402564,0.644900599444587,0.00386798013413638,0.180498355428715,0.000730022020751432,102.071,39.7056229707518,45.081,1
"THCM",1000,"LASSO",1000,0.244303438178946,0.0383276518903594,0.00121202677339594,0.242727974601072,0.634406943534207,0.00397315161812548,0.183054193760642,0.000758045673636154,83.303,36.5875093008097,45.081,2
"THCM",1000,"Ridge",1000,0.252789070517453,0.0395650863560967,0.00125115788706517,0.2529731609953,0.621735304531754,0.00258955174987592,0.184105913485193,0.000782882405648189,1000,0,45.081,3
"THCM",1000,"RAENR-MM",1000,0.256029603157325,0.0461924843515823,0.00146073461332686,0.25477514679512,0.612075231376026,0.00301402497081463,0.182709985324369,0.000837112189378296,30.317,20.3860762066442,45.081,4
"THCM",1000,"MM-RWAL",1000,0.310369302027844,0.0583809521353433,0.00184616780716956,0.308734387811367,0.431869129480996,0.00433944055030734,0.228846565748957,0.00112488761174483,3.525,2.17073422764904,45.081,5
"THCM",5000,"Ridge",1000,0.188209497443471,0.0280695673473676,0.000887637657531725,0.186840640362514,0.702601901114144,0.00298421323390657,0.138499869565468,0.000552887142633497,5000,0,44.832,1
"THCM",5000,"RAENR-MM",1000,0.188550052886604,0.0278286069383116,0.000880017820346296,0.187033421062501,0.702661737070306,0.0027846875335572,0.141153389810553,0.000551701699636797,46.245,14.1834461660467,44.832,2
"THCM",5000,"ENET",1000,0.192694499597426,0.0276703728583754,0.000875014019385701,0.191122934475826,0.687978531484991,0.00302116681378364,0.143503025347728,0.000564924096600676,118.183,47.6160140687542,44.832,3
"THCM",5000,"LASSO",1000,0.193782777120996,0.0275729129322991,0.000871932065915772,0.192103468826507,0.684217630911892,0.0030800303301477,0.144578237363319,0.00057685821932148,100.48,44.8659620932679,44.832,4
"THCM",5000,"MM-RWAL",1000,0.206128476373624,0.028788179285587,0.000910362162317339,0.205254652371479,0.642870003910599,0.00349678466592522,0.158641099786845,0.000650731237094463,8.771,3.00492738491109,44.832,5
"THCM",10000,"RAENR-MM",1000,0.17126006553566,0.0265019481932284,0.000838065187223859,0.169486855776563,0.735360991127714,0.00277905384624666,0.127400983657098,0.000538621405333674,44.592,9.22109345818404,45.194,1
"THCM",10000,"ENET",1000,0.178104392086995,0.0273441368805494,0.000864697531939475,0.177327971385459,0.714634186309834,0.0028985264577818,0.131469626511118,0.00056554996613765,88.717,33.3974595037003,45.194,2
