"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
1,15000,0.152412057092441,0.155377740418496,0.832987097133108,0.826424278983611,0.306282492073314,0.315556229195373,0.701287722685539,0.682924822595273,811,1001,0.140339836375079
2,15000,0.167225805777223,0.193128708179813,0.727774281452804,0.636908376942898,0.330407902060344,0.326152900358073,0.59804340999241,0.608329563274786,918,910,0.163590070019096
3,15000,0.157357093065973,0.168300350092397,0.772331467530772,0.73956437040127,0.29867197923769,0.295143961060748,0.640806516310073,0.64924223628824,801,1064,0.149106592729513
4,15000,0.20911712142467,0.204390611070693,0.765580919620024,0.776057945641423,0.376281078216171,0.373612041074265,0.575563025382365,0.581562903618491,836,967,0.232399179767601
5,15000,0.175321866091894,0.178696163441534,0.670037768897583,0.657214439636222,0.38174265305355,0.362140287427924,0.606453990010734,0.645833220312422,776,835,0.167391304347826
6,15000,0.175798404432393,0.167100494412243,0.732281673405099,0.75811790950886,0.322007700298718,0.329803054201186,0.620141031231161,0.601526708955901,780,786,0.172155688622754
7,15000,0.199781116593686,0.219626577157433,0.606678506336308,0.524655367855877,0.300526834658001,0.331096141669472,0.676533981191745,0.607381835130437,761,913,0.174736842105263
8,15000,0.145238487347391,0.138585456329882,0.779360525914223,0.799111492662069,0.252603946335682,0.254556335390136,0.690153039260115,0.685344882959263,761,998,0.171105193075899
9,15000,0.189877457234195,0.188157852158091,0.72134897637977,0.726373268855011,0.558087612560462,0.534962376092259,0.372790832659958,0.423692714439352,742,980,0.12992125984252
10,15000,0.136318273484923,0.127309888855203,0.831058281459619,0.852649018944079,0.231679164516632,0.22523932684257,0.674974091262599,0.692792038932308,997,1029,0.216816816816817
11,15000,0.202272891675826,0.184734890470537,0.683266335844948,0.735809793981803,0.282828098647648,0.268367245960391,0.637491196324295,0.673613288211544,844,880,0.196391394864677
12,15000,0.200387226699714,0.187837344350974,0.706632581515618,0.742228031120747,0.286792557529606,0.274839146991422,0.604195409738768,0.636501806643397,823,938,0.18029490616622
13,15000,0.166143334668152,0.175461374961494,0.809333232563851,0.78734665706832,0.390975880162606,0.391557384111218,0.541017070932263,0.539650752028684,1027,887,0.199248120300752
14,15000,0.177816095021398,0.182780711616764,0.823522931640018,0.81353090151853,0.518234293262503,0.507340808165831,0.414416704543938,0.438776334968252,901,1248,0.166666666666667
15,15000,0.163434503510297,0.169991529456829,0.765386854068113,0.74618375800717,0.451556942327171,0.442921365703965,0.508155541766384,0.526787731164871,835,940,0.187290969899666
16,15000,0.20976777885783,0.220970844157702,0.699431775602014,0.666469575678722,0.368902692788466,0.373605957720984,0.594560089886554,0.584156006915945,917,955,0.220338983050847
17,15000,0.180795947004924,0.18378982692767,0.794670273371789,0.787813677632714,0.570052672427707,0.541969981778917,0.371080831794375,0.431519823449051,843,917,0.182001343183345
18,15000,0.224072422051814,0.217921744948419,0.670631920805761,0.688465731655683,0.525064858625458,0.504009123359929,0.349050688031671,0.400211599847972,644,904,0.189853958493467
